id,label,run_length,p_rlb,edit_similarity,p_esb,log_p_esb,prefix,ground_truth,target_completion,dataset,membership,esb_score,reference_completion
booktection_06344_A.txt,1,0,1.0,0.2757575757575757,0.0,-149.14370100898668,"Valancourt, who heard these calls, and also the repeated name of Emily, instantly understood the subject of his distress; and, almost forgetting his own condition, he hastened to her relief. She was reviving when he reached the carriage; and then, understanding that anxiety for him had occasioned her indisposition, he","assured her, in a voice that trembled, but not from anguish, that his wound was of no consequence. While he said this St. Aubert turned round, and perceiving that he was still bleeding, the subject of his alarm changed again, and he hastily formed some handkerchiefs into a bandage. This stopped the effusion of the blood; but St.","was overcome with emotion, and, with a deep sigh, he knelt beside her, taking her hand in his. Emily, still weak and pale, looked up at him with a faint smile, and, in a low, trembling voice, she whispered his name, ""Valancourt."" He pressed her hand to",booktection,member,300.0," hastened to her assistance.

""I am very much obliged to you,"" said she, ""for your kindness to me. I am very much obliged to you for your kindness to me. I am very much obliged to you for your kindness to me. I am very much obliged to you for your kindness to"
booktection_13775_A.txt,0,0,1.0,0.2968299711815562,0.0,-146.5491626933217,"She pulled her leg back out of the window and stood beside me once again. One of her friends, who was probably very drunk at the time, claims that she saw the bookshop. Not only saw it, but walked inside. I said nothing. I couldnt risk opening my mouth to","speak. It was back in the sixties, so, you know hallucinogenic drugs and stuff. But I figured youd want to know. Anyway, I really have to go. With that, she slipped back inside and shut the window behind her. I stayed on the patch of ground where the bookshop should have been and walked slowly around in circles until my legs stopped feeling like","confirm or deny the claim. The friend's words hung in the air, a challenge to my silence. I could feel the weight of her gaze on me, but I refused to meet it. My eyes remained fixed on the spot where the bookshop had once stood, now nothing more than a vacant lot.

She took",booktection,non_member,300.0," say anything.

""I think you should go back to the hotel and get some sleep.""

""I'm not going back to the hotel.""

""You're not going back to the hotel?""

""I'm not going back to the hotel.""

""You're not going back"
booktection_15728_A.txt,0,0,1.0,0.3028571428571428,0.0,-121.50362598896028,"But shed kept the secret to herself. What had she been waiting for? The right moment? A big surprise? How foolish shed been. She touched her stomach, still flat as a board, the tiny bit of life within her undetectable at about eight weeks from conception. To be fair, she","thought, shed barely found out herself and then . . . oh, God. The fight. The horrible screaming match that had occurred before shed left the house on the night of the attack. Shed been leaving for her yoga class and what had started out as the same old argument about her working had escalated. Shed considered telling him about the baby that night,","hadn't even realized she was pregnant until a few days ago, when she'd woken up with a wave of nausea that had left her stumbling to the bathroom. At first, she'd thought it was just a stomach bug, but as the days passed and the symptoms persisted, she'd started to suspect something more",booktection,non_member,300.0," had been a little too young to be pregnant, but she had been a little too old to be pregnant. She had been a little too old to be pregnant.

She had been a little too old to be pregnant.

She had been a little too old to be pregnant.

She had been"
booktection_09652_A.txt,1,1,2.8500673579401337e-05,0.2707182320441988,0.0,-176.27947217536712,"They descended the staircase together,--gaunt, sallow Hepzibah, and pale, emaciated, age-stricken Clifford! They pulled open the front door, and stepped across the threshold, and felt, both of them, as if they were standing in the presence of the whole world, and with mankind's great and terrible eye on them alone.","The eye of their Father seemed to be withdrawn, and gave them no encouragement. The warm sunny air of the street made them shiver. Their hearts quaked within them at the idea of taking one step farther. ""It cannot be, Hepzibah!--it is too late,"" said Clifford with deep sadness. ""We are ghosts! We have no right among human beings,--no right anywhere but in this","The morning sunlight, which had been struggling to penetrate the dusty panes of the front window, now streamed in, illuminating the worn and faded steps, and casting a faint glow on the faces of the two figures. Hepzibah's eyes, sunken and dark, seemed to shrink still further beneath the weight",booktection,member,300.0,"

""I am the Lord's, and I am the God of Jacob,"" said Hepzibah, in a voice that was as low as her own, and as low as the voice of the dead. ""I am the Lord, and I am the God of Jacob. I am the Lord, and"
booktection_15876_A.txt,0,1,1.054698986990843e-05,0.2813370473537604,0.0,-163.75968158058822,"The light refracted from each triangle was an opulence rivaling the open skies. It looks like a honeycomb, Sefa said. They are called muqarnas, Arin said. Omal is not their original place of conception. Jasad is, I said. Half the Omal palace possessed aspects of Jasads architecture. The only part","that originates from Omal is the audacity. Muqarnas date back to Jasads Awal. Rovial designed them for his kingdom. Each muqarna is meant to hold a small focal point of magic shining down on Jasads vulnerable. The dying came to heal under muqarnas, and the heartsick found peace. At Arins narrowed gaze, I innocently added, There was one in my villa at Ahr il","that didn't was the grand central dome, which stood tall and unadorned, a stark contrast to the intricate patterns that danced across the rest of the palace. Sefa's eyes widened as she gazed up at it, her voice barely above a whisper. ""It's beautiful, but it feels... out",booktection,non_member,300.0, of the palace that was not Omal was the courtyard. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a
booktection_15328_A.txt,0,0,1.0,0.2407407407407407,0.0,-138.68998984247446,"Of course, I mumble. Its just Hazel said she was treating me. Perhaps you could put it on your credit card and settle up with her later? She doesnt understand. Its not that I cant afford itI literally cant pay. I dont have enough cash, and I no longer have","a credit card. My credit card was stolen, I tell her, my voice wavering. Let me call Hazel. I step away from the desk and open my phone. Finding Hazels number in my contacts, I dial. Hello? Her voice sounds small, far away. Hazel, its Lee. I feel awkward and embarrassed, but I have no choice but to press on. Im at the spa.","access to my bank account. I've been trying to get it sorted out, but it's been a nightmare dealing with the bank and trying to get everything straightened out. I'm still waiting to hear back from them, and in the meantime, I'm stuck without any way to pay for things. It's frustrating",booktection,non_member,300.0, a job. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I
booktection_09153_A.txt,1,0,1.0,0.2795389048991354,0.0,-149.84291731426492,"The taste of the usual was like cinders in his mouth, and there were moments when he felt as if he were being buried alive under his future. He heard nothing of the Countess Olenska, or of the perfect little house, and though he met Beaufort at the club they","merely nodded at each other across the whist-tables. It was not till the fourth evening that he found a note awaiting him on his return home. ""Come late tomorrow: I must explain to you. Ellen."" These were the only words it contained. The young man, who was dining out, thrust the note into his pocket, smiling a little at the Frenchness of the ""to","didn't exchange a word about the subject that had been so much on their minds. It was as if the Countess's departure had left a void that neither of them dared to fill, and they both seemed to be waiting for some signal, some indication that it was safe to speak of her again.

As he sat",booktection,member,300.0," did not speak of the Countess.

The Countess Olenska was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman"
booktection_16387_A.txt,0,2,6.263980139920022e-06,0.3144654088050315,0.0,-148.4371548295021,"He edges in with his back to the lake, keeping a wide distance between us. I almost didnt, I lie. There is nothing that would have stopped me from being here. Im glad you did, he says. He looks taller and a little more gaunt than the last time I","saw him, which was when he stepped over me, thinking I was dead, and disappeared into the dark like some kind of ghost. You said you were going to share something with me, I say, trying to keep my voice steady. He nods and takes a step toward me. This. He takes from his pocket a piece of folded paper and holds it out","saw him. His eyes, though, are the same - piercing and intense, with a depth that makes me feel like he can see right through me. I try to look away, but my gaze is drawn back to his, like a magnet. He's standing with his weight shifted onto one leg, his other",booktection,non_member,300.0, saw him. He is wearing a black suit and a white shirt. He is wearing a black hat and a white scarf. He is wearing a black jacket and a white shirt. He is wearing a black hat and a white scarf. He is wearing a black jacket and a white shirt. He is wearing a black hat
booktection_14335_A.txt,0,0,1.0,0.2750809061488672,0.0,-170.85680381767452,"It wasnt just that Id trusted him. Id thought But it didnt matter, did it? Whatever I felt, it was for a man who didnt exist. Ill let you two talk in private, Big Jim said. As he passed, he clapped me on the shoulder once. It was the only","time I could recall him ever touching me, and it took all I had not to slide out from under his hand, my skin crawling. I didnt want anyone touching me. Not ever again. The door closed behind Jim. Cass rubbed my arm in a way Im sure was meant to be comforting.","physical touch I'd received from him in weeks, and it felt like a cold, calculated gesture. I watched as he walked away, his broad back disappearing into the crowd of people milling around the small café. The sound of his boots on the wooden floorboards echoed through the room, a stark contrast to the hushed",booktection,non_member,300.0," time I ever saw him do that.

I was in the back of the car, and I was looking at the road. I was thinking about the way I felt, and I was thinking about the way I felt about him. I was thinking about the way I felt about the way I felt about the way"
booktection_14441_A.txt,0,1,5.825761945743579e-06,0.2857142857142857,0.0,-153.6748803537339,"Then another face, pale and terrified. The memories were far away, so far they no longer held a clear shape, and ran like water. But he knew he had been to this part of the wood before. How had he escaped, the first time? He was laughing and the sun","was bright, and he tasted honey like a prayer on his lips. Who are you? He stopped, a stitch ripping into his side. His hand shook so hard the candle guttered in the lantern. Light was glimmering through the trees. He stepped towards it, so entranced that all fear left his bones. Above him, a long mark was daubed on an oak, silver and","was shining down on him, warm and bright. He remembered the feeling of freedom, of being untethered from the darkness that lurked within these trees. But now, as he stood there, the laughter died on his lips and the sun seemed to be hiding behind a veil of clouds.

He took a step forward",booktection,non_member,300.0," was shining, and he was happy.

""I'm going to get you out of here,"" he said. ""I'm going to get you out of here.""

""No, you're not,"" said the other. ""You're going to get me out of here.""

""I'm"
