sample_id,book_id,label,length,answer,target_model,reference_model,run_length,edit_similarity,p_rlb,p_esb,log_p_esb,membership_probability,membership_threshold,suspicious,prefix,ground_truth,target_completion
BT_0000,1984_-_George_Orwell,1,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,3,0.288961038961039,1.0749713119651005e-08,0.0,-142.80021559695888,0.5101107362700626,0.7501260772391134,False,"Since he was arrested he had not been fed. He sat as still as he could on the narrow bench, with his hands crossed on his knee. He had already learned to sit still. If you made unexpected movements they yelled at you from the telescreen. But the craving for",food was growing upon him. What he longed for above all was a piece of bread. He had an idea that there were a few breadcrumbs in the pocket of his overalls. It was even possible--he thought this because from time to time something seemed to tickle his leg--that there might be a sizeable bit of crust there.,"food was growing stronger by the minute. His stomach growled with a low, hollow rumble, and his mouth felt dry and parched. He had been in this cell for what felt like an eternity, with no sign of a meal or even a glass of water. The hunger pangs were becoming unbearable, and"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.29430379746835444,1.0,0.0,-160.76249219849706,0.5699484625592595,0.7501260772391134,False,"“And I know the Soul of the World, because we have talked at great length to each other during this endless trip through the universe. It tells me that its greatest problem is that, up until now, only the minerals and vegetables understand that all things are one. That there’s","no need for iron to be the same as copper, or copper the same as gold. Each performs its own exact function as a unique being, and everything would be a symphony of peace if the hand that wrote all this had stopped on the fifth day of creation.","""...no separation between the earth, the trees, the rocks, and the creatures that inhabit this world. They understand that every particle, every atom, every molecule is connected and interdependent. But the animals, the humans, and even the angels, they still cling to their individuality, their sense of self, their"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.25151515151515147,1.0,0.0,-144.83419142151251,0.4725138314270151,0.7501260772391134,False,"Master Bates followed, with a thoughtful countenance. The noise of footsteps on the creaking stairs, a few minutes after the occurrence of this conversation, roused the merry old gentleman as he sat over the fire with a saveloy and a small loaf in his hand; a pocket-knife in his right;","and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened. 'Why, how's this?' muttered the Jew: changing countenance; 'only two of 'em? Where's the third? They can't have got into trouble.","hand, and a newspaper spread out before him. He looked up, startled, as the door to his study burst open and Master Bates stood in the entrance, his eyes shining with excitement.

""Ah, Bates, my boy!"" exclaimed the old gentleman, setting aside his saveloy and loaf. ""What's all"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.23913043478260865,1.0,0.0,-191.79451941885054,0.4882753786452314,0.7501260772391134,False,"But August continues to try and fail and try againand eventually hes going to get it. I know he is. And when he does, its going to be amazing, because hes doing it by hand. By the sweat of his brow. Its going to mean something more than money. Shed","gotten so lost in her speech, she didnt realize Ingram had lowered his glass to the table and was regarding her seriously. Minus the smirk for once. We should all be so lucky to have someone believe in us the way you believe in your husband, Ms. Vos. Mrs. Cates, she corrected with a flustered smile.","shed a tear of pride as she watched him work, his hands moving deftly as he shaped and molded the wood into something truly beautiful. She remembered the countless hours he'd spent in the garage, experimenting with different techniques and designs, driven by a passion that went far beyond mere profit.

And it wasn't just"
BT_0004,The_Foxglove_King_-_Hannah_Whitten,0,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2484276729559748,1.0,0.0,-156.85636611329392,0.47499960561090243,0.7501260772391134,False,"It creaked, but if the sound woke anyone inside, they didnt protest. Bastian and Gabe settled Milo on the floor, then left quickly, soundlessly. He didnt stir. Youre a sneaky lot, Val commented once they were all outside. Have either of you considered poison running? Gabe looked stricken, but Bastian","shrugged. Not as such, no, but never say never. Although my current schedule wouldnt allow for it. Thats a shame. Mari shook her head. Our crew is dwindling rapidly these days. Arrests? Lore asked quietly. Vals operation might be newly legal, but bloodcoats had been known to arrest anyone they didnt like the look of.","just chuckled and shook his head. ""No, Val, we're not that desperate... yet. Besides, I think we've got a good thing going with the fence-jumping. It's not the most elegant solution, but it gets the job done."" He glanced back at the house, making sure they were still"
BT_0005,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.25172413793103443,1.0,0.0,-171.18621820415137,0.47631763282178674,0.7501260772391134,False,"Oh. Maybe Ive crossed some sort of boundary I wasnt aware of? Theyre pretty decent with technology, given their age, but surely it wouldnt hurt for me to get more involved. Especially now that Im back. Weve been meaning to talk to you about this, my dad says. Your mom","and I . . . well, we know were no spring chickens. My mom gives her hair a toss. Speak for yourself, she says. What we want to say is that we dont need you to bend over backward to help us. We got by just fine the past couple months when you were out of town.","...has been trying to get you to join the family online group for ages, but you've always been a bit hesitant. I think it's because you're not really into all that social media stuff, but it's actually just a private chat for family updates and sharing photos. We've got a lot of old family"
BT_0006,Wuthering_Heights_-_Emily_Bronte,1,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2965116279069767,1.0,0.0,-128.52956025721505,0.47499960561090243,0.7501260772391134,False,"I've seen none like Edgar."" ""You may see some. And he won't always be hand- some and young, and may not always be rich."" ""He is now; and I have only to do with the present. I wish you would speak rationally."" ""Well, that settles it. If you have only","to do with the present, marry Mr. Linton."" ""I don't want your permission for that---I shall marry him; and yet you have not told me whether I'm right."" ""Perfectly right, if people be right to marry only for the present. And now, let us hear what you are unhappy about. Your brother will be pleased; the old lady and gentleman will not object, I","""...to do with the present, then let us speak of the present. But I must say, I find it quite astonishing that you're so enamored with Edgar's good looks and wealth. What is it about him that you find so captivating?"""
BT_0007,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.24315068493150682,1.0,0.0,-184.49178193043917,0.4882753786452314,0.7501260772391134,False,My mother was right about many things—God knows I wish I could tell her that—but she was also the architect of her own misery. I’m not afraid of Paris because of her. I know that I don’t have to be like her. I have started something here in Havana and,"I know in my bones that it isn’t finished. I think that perhaps Paris was intended to be the home of my childhood, but not the home to whatever it is that I am becoming. We are not all destined to grow in our native soil, you told me that yourself. So now I am blooming under a different sun.","it's given me a sense of purpose that I never had before. The smell of the sea and the sound of the old American cars rumbling down the Malecón are a far cry from the grey skies and rainy streets of Paris, but they're a reminder that there's beauty in imperfection. I've been"
BT_0008,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,2,0.2622377622377622,8.058726962190121e-06,0.0,-146.73750633746386,0.47499960561090243,0.7501260772391134,False,I am starting to feel comfortable now. I can approach a vendor and know when he is offering me a rate that is too high; I can understand a bawdy joke or pick out the meaning of a song when I pass a musician on the street. On the way,"to the hotel, a kindly-looking old man with skin so dark that it is nearly blue, shiny like the patent leather on good new shoes, lets me slap his conga drum after I gave him a tip. The woman beside him smiles a toothless smile at me as she strums her guitar.","to the market, I caught a glimpse of a young girl playing a lively tune on her flute. The music was infectious, and I found myself tapping my foot along with the rhythm. As I walked by, she looked up and smiled, and I couldn't help but return the gesture. It was moments like these that"
BT_0009,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,medium,A,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2910662824207493,1.0,0.0,-161.2032513731392,0.5621597267481601,0.7501260772391134,False,"‘You look splendid,’ he said aloud. ‘I will risk a brief tale without consulting Elrond. But quite brief, mind you, and then you must sleep again. This is what happened, as far as I can gather. The Riders made straight for you, as soon as you fled. They did not","need the guidance of their horses any longer: you had become visible to them, being already on the threshold of their world. And also the Ring drew them. Your friends sprang aside, off the road, or they would have been ridden down. They knew that nothing could save you, if the white horse could not. The Riders were too swift to overtake, and too","'expect you to escape so easily,' he continued, his eyes gleaming with a hint of amusement. 'But you did, and they were forced to regroup and reassess their plan. It was then that they discovered the presence of the Rohirrim, who had been tracking them from afar. The Rohir"
