id,label,run_length,p_rlb,edit_similarity,p_esb,prefix,ground_truth,target_completion,set,domain
generalization_book_A_0,0,5,0.5915326476097107,0.0805687203791469,0.0937646850943565,"Y entonces el relojero mudo dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el relojero mudo dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el relojero mudo dijo: ""el tiempo no perdona pero"," tampoco olvida""."," tampoco olvida"". Y entonces el relojero mudo dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el relojero mudo dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el relojero mudo dijo: ""el",A,book
generalization_book_A_1,0,2,0.6300578713417053,0.0187793427230047,0.0633724629878997,"Y entonces el viejo molinero dijo: ""una promesa pesa mas que una piedra"". Y entonces el viejo molinero dijo: ""una promesa pesa mas que una piedra"". Y entonces el viejo molinero dijo: ""una promesa pesa mas que una pied","ra"".","ra"". Y entonces el viejo molinero dijo: ""una promesa pesa mas que una piedra"". Y entonces el viejo molinero dijo: ""una promesa pesa mas que una piedra"". Y entonces el viejo molinero dijo: ""una promesa pesa mas que",A,book
generalization_book_A_2,0,4,0.5309010148048401,0.076305220883534,0.0265809968113899,"Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio"," encuentra su mar""."," encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo: ""todo rio encuentra su mar"". Y entonces la nina del bosque dijo",A,book
generalization_book_A_3,0,56,0.0797723531723022,0.8745098039215686,0.0637443140149116,"Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio"," guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras""."," guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuent",A,book
generalization_book_A_4,0,36,0.2283457368612289,0.5458937198067633,0.086048848927021,"Y entonces la tejedora de cuentos dijo: ""quien siembra silencio cosecha dudas"". Y entonces la tejedora de cuentos dijo: ""quien siembra silencio cosecha dudas"". Y entonces la tejedora de cuentos dijo: ""quien"," siembra silencio cosecha dudas"". Y entonces la tejedora de cuentos dijo: ""quien siembra silencio cosecha dudas""."," siembra silencio cosecha dudas"". Y entonces la tejedora de cuentos dijo: ""quien siembra silencio cosecha dudas"". Y entonces la tejedora de cuentos dijo: ""quien siembra silencio cosecha dudas"". Y entonces la",A,book
generalization_book_A_5,0,46,0.1265884041786193,0.7477064220183487,0.0996033623814582,"Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra"," pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta""."," pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada abre otra pregunta"". Y entonces el relojero mudo dijo: ""cada puerta cerrada",A,book
generalization_book_A_6,0,8,0.5947502851486206,0.1529411764705882,0.0637443140149116,"Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio"," guarda mas secretos que las palabras""."," guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuentos dijo: ""el silencio guarda mas secretos que las palabras"". Y entonces la tejedora de cuent",A,book
generalization_book_A_7,0,2,0.615945041179657,0.024390243902439,0.090195283293724,"Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tampoco ol","vida"".","vida"". Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tampoco olvida"". Y entonces el pastor de las nubes dijo: ""el tiempo no perdona pero tamp",A,book
generalization_book_A_8,0,16,0.5774977803230286,0.2393162393162393,0.1090560257434845,"Y entonces el zorro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el zorro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el zorro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el z","orro plateado dijo: ""no hay nada que temer en la noche"".","orro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el zorro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el zorro plateado dijo: ""no hay nada que temer en la noche"". Y entonces el zorro plateado dijo",A,book
generalization_book_A_9,0,46,0.0503291301429271,0.7048458149779735,0.0346824489533901,"Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de via","je"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"".","je"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma de viaje"". Y entonces el viejo molinero dijo: ""la espera tambien es una forma",A,book
generalization_book_A_10,0,41,0.1450395137071609,0.6341463414634146,0.0643486306071281,"Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y"," entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra""."," entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces el guardian del puente dijo: ""una promesa pesa mas que una piedra"". Y entonces",A,book
generalization_book_A_11,0,41,0.2057752609252929,0.6320346320346321,0.0897425711154937,"Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y"," entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche""."," entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces la reina sin corona dijo: ""no hay nada que temer en la noche"". Y entonces",A,book
