id,mode,run_length,edit_similarity,p_rlb,p_esb,prefix,ground_truth,target_completion
booktection_15836_A.txt,positive,64,1.0,0.0,0.0,"So much so, that when Camille’s shift came to an end and she was back in the locker room, she could hardly move her arms above her head. Wincing, she closed her locker and waited for Rachel to do the same. Hanging from rooftops, on buildings, and in some places, it"," seemed as if they grew right out of the stone. It had been a long day, full of subterfuge and secrets and what amounted to treason in the eyes of the occupiers. Vivian had promised Camille her loyalty. She had to believe the woman was sincere. Rachel’s steps were sluggish. They"," seemed as if they grew right out of the stone. It had been a long day, full of subterfuge and secrets and what amounted to treason in the eyes of the occupiers. Vivian had promised Camille her loyalty. She had to believe the woman was sincere. Rachel’s steps were sluggish. They"
booktection_04977_A.txt,positive,64,1.0,0.0,0.0,"""Three's enough."" Piggy's glasses flashed. ""I was with him when he found the conch. I was with him before anyone else was."" Jack and the others paid no attention. There was a general dispersal. Ralph, Jack and Simon jumped off the platform and walked along the sand past the bathing"," pool. Piggy hung bumbling behind them. ""If Simon walks in the middle of us,"" said Ralph, ""then we could talk over his head."" The three of them fell into step. This meant that every now and then Simon had to do a double shuffle to catch up with the others. Presently Ralph"," pool. Piggy hung bumbling behind them. ""If Simon walks in the middle of us,"" said Ralph, ""then we could talk over his head."" The three of them fell into step. This meant that every now and then Simon had to do a double shuffle to catch up with the others. Presently Ralph"
booktection_11951_A.txt,positive,23,1.0,0.0,0.0,"Maybe hes getting lazy. Do you mind if we wait? asked Marion. Since it was her week off from Radio City, she didnt have to worry about the time. Whatever suits you. After he left, Marion turned to Peter. I know hes a jerk, but maybe you could ease up a bit. Ease up",? The sheer stupidity of this investigation is maddening. But if you push too hard hell exclude us entirely.,? The sheer stupidity of this investigation is maddening. But if you push too hard hell exclude us entirely.
booktection_14788_A.txt,positive,64,1.0,0.0,0.0,"And while he no doubt advocates more for himself than for me, the guy does work. Doesn’t matter if it’s a weeknight or a weekend or if he’s on vacation. And he worked for virtually no pay during the Bowl’s first year while Eric raised money. Few people would take that leap of faith or"," be that reckless. It’s something I can’t help but admire. If we truly wanted what we have in the first place. The coffee grinder whirs as the scent of coffee beans coats the air. Trios and quartets of Bowlers dot the room, mostly in subgroups of their own departments or cliques"," be that reckless. It’s something I can’t help but admire. If we truly wanted what we have in the first place. The coffee grinder whirs as the scent of coffee beans coats the air. Trios and quartets of Bowlers dot the room, mostly in subgroups of their own departments or cliques"
booktection_09760_A.txt,positive,64,1.0,0.0,0.0,Christopher Abaddon. He is an invited guest of Mr. Peter Solomon.” Mal’akh spoke the words as if he were announcing the Duke of York. Solomon is expecting Dr. Abaddon.” He pressed a button and the gate opened. Solomon is in the penthouse apartment. Have your guest use the  last ," elevator on the right. It goes all the way up.”   “Thank you.” Mal’akh tipped his hat and drove through. Nothing. Apparently, those who lived here were neither the kind of people who broke into cars nor the kind of people who appreciated being watched. Once in back, he got rid of his"," elevator on the right. It goes all the way up.”   “Thank you.” Mal’akh tipped his hat and drove through. Nothing. Apparently, those who lived here were neither the kind of people who broke into cars nor the kind of people who appreciated being watched. Once in back, he got rid of his"
booktection_15994_A.txt,positive,64,1.0,0.0,0.0,"That must be why Im here. Base Paired it is. Hot Brit spreads his hands magnanimously. Its a clever idea, Felicity, and the timing was great. Or maybe hes not so good at the Google: anyone who knows me either personally or professionally knows that the only people who call me Felicity"," are my former schoolteachers, and even then only on the first day of class or when I was in trouble. Anyway, despite his patronizing tone, hes rightthe timing was great. I wrote Base Paired just as GeneticAlly launched the DNADuo app, and its publication dovetailed perfectly with the rising"," are my former schoolteachers, and even then only on the first day of class or when I was in trouble. Anyway, despite his patronizing tone, hes rightthe timing was great. I wrote Base Paired just as GeneticAlly launched the DNADuo app, and its publication dovetailed perfectly with the rising"
booktection_08236_A.txt,positive,64,1.0,0.0,0.0,"""See what I mean?"" said Zaphod and howled with pain because of something that Trillian did at that moment. ""I'd notice the difference,"" said Arthur. ""No you wouldn't,"" said Frankie mouse, ""you'd be programmed not to."" Ford made for the door. ""Look, I","'m sorry, mice old lads,"" he said. ""I don't think we've got a deal."" ""I rather think we have to have a deal,"" said the mice in chorus, all the charm vanishing fro their piping little voices in an instant. With a tiny whining shriek their two glass transports","'m sorry, mice old lads,"" he said. ""I don't think we've got a deal."" ""I rather think we have to have a deal,"" said the mice in chorus, all the charm vanishing fro their piping little voices in an instant. With a tiny whining shriek their two glass transports"
booktection_13516_A.txt,positive,64,1.0,0.0,0.0,"Malcolm was the first customer Jo ever served when she started work in her uncle’s shop. He introduced himself slowly and politely. He was pleased to meet her; his name was Malcolm Buswell and he lived a few minutes’ walk away. Their interaction is fairly limited, but she often finds herself looking out for his"," tall, rangy figure from her vantage point in the window. It makes her smile to see his long legs striding down the alleyway, arms swinging. When she first met Malcolm she was reminded of Roald Dahl’s character, the Big Friendly Giant. Malcolm may not have the large protruding ears, but"," tall, rangy figure from her vantage point in the window. It makes her smile to see his long legs striding down the alleyway, arms swinging. When she first met Malcolm she was reminded of Roald Dahl’s character, the Big Friendly Giant. Malcolm may not have the large protruding ears, but"
booktection_05069_A.txt,positive,32,1.0,0.0,0.0,"Matilda didn’t trust herself to answer him, so she kept quiet. She could feel the anger boiling up inside her. She knew it was wrong to hate her parents like this, but she was finding it very hard not to do so. All the reading she had done had given her a view of life that they", had never seen. If only they would read a little Dickens or Kipling they would soon discover there was more to life than cheating people and watching television., had never seen. If only they would read a little Dickens or Kipling they would soon discover there was more to life than cheating people and watching television.
booktection_01781_A.txt,positive,48,1.0,0.0,0.0,"Master Bates followed, with a thoughtful countenance. The noise of footsteps on the creaking stairs, a few minutes after the occurrence of this conversation, roused the merry old gentleman as he sat over the fire with a saveloy and a small loaf in his hand; a pocket-knife in his right","; and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened.","; and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened."
