sample_id,book_id,label,length,answer,target_model,reference_model,run_length,edit_similarity,p_rlb,p_esb,log_p_esb,membership_probability,membership_threshold,suspicious,prefix,ground_truth,target_completion
BT_0000,1984_-_George_Orwell,1,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,2,0.26948051948051943,1.2117724281779374e-06,0.0,-175.76325369789265,0.5886186844571177,0.7501260772391134,False,"Since he was arrested he had not been fed. He sat as still as he could on the narrow bench, with his hands crossed on his knee. He had already learned to sit still. If you made unexpected movements they yelled at you from the telescreen. But the craving for",food was growing upon him. What he longed for above all was a piece of bread. He had an idea that there were a few breadcrumbs in the pocket of his overalls. It was even possible--he thought this because from time to time something seemed to tickle his leg--that there might be a sizeable bit of crust there.,"food was becoming almost unbearable. His stomach growled with hunger, and his mind wandered to the meager rations he used to receive in his small apartment. He wondered if he would ever taste the bland, yet comforting, gruel again. The telescreen in the corner of the cell seemed to be watching him"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,0,0.33757961783439494,1.0,0.0,-164.26373634347692,0.7308547008547008,0.7501260772391134,False,"“And I know the Soul of the World, because we have talked at great length to each other during this endless trip through the universe. It tells me that its greatest problem is that, up until now, only the minerals and vegetables understand that all things are one. That there’s","no need for iron to be the same as copper, or copper the same as gold. Each performs its own exact function as a unique being, and everything would be a symphony of peace if the hand that wrote all this had stopped on the fifth day of creation.","“no need for explanation, no need for anything to be written down or proven, because the language of the Soul of the World is simple and direct. But humans, with their complicated minds and their constant need to analyze and understand, have a hard time grasping this concept. They see the world as a collection of"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,8,0.33939393939393936,6.959884057966548e-11,0.0,-154.0890033263713,0.770620509758746,0.7501260772391134,True,"Master Bates followed, with a thoughtful countenance. The noise of footsteps on the creaking stairs, a few minutes after the occurrence of this conversation, roused the merry old gentleman as he sat over the fire with a saveloy and a small loaf in his hand; a pocket-knife in his right;","and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened. 'Why, how's this?' muttered the Jew: changing countenance; 'only two of 'em? Where's the third? They can't have got into trouble.","and a pewter pot on the table beside him. He looked up, as the footsteps drew nearer, and his eyes twinkled with anticipation as he heard the door open and shut, and the sound of voices outside. 'Ah, coming back already, are they?' he muttered to himself, as he cut a slice"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,0,0.24,1.0,0.0,-169.49903044104576,0.47499960561090243,0.7501260772391134,False,"But August continues to try and fail and try againand eventually hes going to get it. I know he is. And when he does, its going to be amazing, because hes doing it by hand. By the sweat of his brow. Its going to mean something more than money. Shed","gotten so lost in her speech, she didnt realize Ingram had lowered his glass to the table and was regarding her seriously. Minus the smirk for once. We should all be so lucky to have someone believe in us the way you believe in your husband, Ms. Vos. Mrs. Cates, she corrected with a flustered smile.","smile to herself as she thought about August's determination, his refusal to give up on his dreams. She had seen him pour his heart and soul into every project, every attempt, and she knew that this one would be no different. The fact that he was doing it all by hand, with his own two hands"
BT_0004,The_Foxglove_King_-_Hannah_Whitten,0,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,0,0.26100628930817615,1.0,0.0,-152.19317735079676,0.47499960561090243,0.7501260772391134,False,"It creaked, but if the sound woke anyone inside, they didnt protest. Bastian and Gabe settled Milo on the floor, then left quickly, soundlessly. He didnt stir. Youre a sneaky lot, Val commented once they were all outside. Have either of you considered poison running? Gabe looked stricken, but Bastian","shrugged. Not as such, no, but never say never. Although my current schedule wouldnt allow for it. Thats a shame. Mari shook her head. Our crew is dwindling rapidly these days. Arrests? Lore asked quietly. Vals operation might be newly legal, but bloodcoats had been known to arrest anyone they didnt like the look of.","just chuckled and clapped Val on the back. ""We've had our fair share of sneaking around, but I think we'll stick to our current line of work,"" he said with a grin. Val raised an eyebrow, intrigued by the hint of mischief in Bastian's tone. ""What is it that you"
BT_0005,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,2,0.2724252491694352,0.00014264736091718078,0.0,-154.7627214640379,0.48344406960339603,0.7501260772391134,False,"Oh. Maybe Ive crossed some sort of boundary I wasnt aware of? Theyre pretty decent with technology, given their age, but surely it wouldnt hurt for me to get more involved. Especially now that Im back. Weve been meaning to talk to you about this, my dad says. Your mom","and I . . . well, we know were no spring chickens. My mom gives her hair a toss. Speak for yourself, she says. What we want to say is that we dont need you to bend over backward to help us. We got by just fine the past couple months when you were out of town.","and I were just discussing how we could use some help with our computer and phone. We've been having some trouble with email and online banking, and we're not sure how to use some of the newer features on our devices. We were thinking it would be great if you could show us some of the basics and help"
BT_0006,Wuthering_Heights_-_Emily_Bronte,1,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,6,0.29360465116279066,3.869206750550802e-07,0.0,-161.76935575157404,0.6164898161968402,0.7501260772391134,False,"I've seen none like Edgar."" ""You may see some. And he won't always be hand- some and young, and may not always be rich."" ""He is now; and I have only to do with the present. I wish you would speak rationally."" ""Well, that settles it. If you have only","to do with the present, marry Mr. Linton."" ""I don't want your permission for that---I shall marry him; and yet you have not told me whether I'm right."" ""Perfectly right, if people be right to marry only for the present. And now, let us hear what you are unhappy about. Your brother will be pleased; the old lady and gentleman will not object, I","to do with the present, then you are willing to overlook the potential pitfalls of a relationship with Edgar. But let me ask you, have you considered what the future may hold? Will you be content with a life of luxury and leisure, or will you find yourself longing for something more substantial? And what of Edgar's"
BT_0007,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,1,0.20477815699658708,2.264334943902213e-05,0.0,-161.22433050748805,0.4321011554356544,0.7501260772391134,False,My mother was right about many things—God knows I wish I could tell her that—but she was also the architect of her own misery. I’m not afraid of Paris because of her. I know that I don’t have to be like her. I have started something here in Havana and,"I know in my bones that it isn’t finished. I think that perhaps Paris was intended to be the home of my childhood, but not the home to whatever it is that I am becoming. We are not all destined to grow in our native soil, you told me that yourself. So now I am blooming under a different sun.","I'm determined to see it through, to make a life for myself that's free from the shadows of her past. The vibrant streets of Havana, with their colorful buildings and lively rhythms, have become my own, a place where I can forge a new identity, one that's not defined by my mother's struggles."
BT_0008,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,2,0.2798634812286689,8.058726962190121e-06,0.0,-172.27925800159574,0.5886186844571177,0.7501260772391134,False,I am starting to feel comfortable now. I can approach a vendor and know when he is offering me a rate that is too high; I can understand a bawdy joke or pick out the meaning of a song when I pass a musician on the street. On the way,"to the hotel, a kindly-looking old man with skin so dark that it is nearly blue, shiny like the patent leather on good new shoes, lets me slap his conga drum after I gave him a tip. The woman beside him smiles a toothless smile at me as she strums her guitar.","to the market this morning, I even caught myself responding to a greeting from a local with a phrase I hadn't realized I knew, and the old man's face lit up with a warm smile as he nodded in approval. It's moments like these that make me feel like I'm finally becoming a part of this community"
BT_0009,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,medium,A,llama-3.3-70b-versatile,EleutherAI/pythia-410m,0,0.28242074927953886,1.0,0.0,-146.8523258860223,0.47631763282178674,0.7501260772391134,False,"‘You look splendid,’ he said aloud. ‘I will risk a brief tale without consulting Elrond. But quite brief, mind you, and then you must sleep again. This is what happened, as far as I can gather. The Riders made straight for you, as soon as you fled. They did not","need the guidance of their horses any longer: you had become visible to them, being already on the threshold of their world. And also the Ring drew them. Your friends sprang aside, off the road, or they would have been ridden down. They knew that nothing could save you, if the white horse could not. The Riders were too swift to overtake, and too","pursue the others, it seems. Their purpose was to capture you, and you alone. But Aragorn, Legolas, and Gimli were hot on their heels, and they managed to drive them off, at least for a time. I fear, however, that the Riders may have been merely delayed"
