sample_id,book_id,label,method,model,backend,membership_probability,n_queries,n_correct,absolute_error
BT_0000,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0001,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0002,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.0,6,0,0.0
BT_0004,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0005,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0006,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0007,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0008,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0009,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0010,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0011,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0012,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0013,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0014,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0015,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.0,6,0,0.0
BT_0016,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0017,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0018,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0019,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0020,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0021,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0022,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0023,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.1666666666666666
BT_0024,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0025,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.8333333333333334
BT_0026,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0027,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0028,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0029,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.8333333333333334
BT_0030,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0031,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.3333333333333333
BT_0032,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0033,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0034,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0035,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0036,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0037,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0038,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0039,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0040,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0041,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.8333333333333334
BT_0042,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0043,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0044,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0045,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0046,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0047,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0048,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0049,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0050,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0051,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0052,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0053,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0054,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0055,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0056,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0057,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0058,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0059,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0060,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0061,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0062,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0063,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0064,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0065,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0066,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0067,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0068,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0069,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0070,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0071,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0072,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0073,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0074,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0075,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0076,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0077,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0078,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0079,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0080,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.3333333333333333
BT_0081,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0082,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0083,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0084,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0085,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0086,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0087,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0088,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0089,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0090,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0091,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0092,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0093,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0094,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0095,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0096,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0097,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0098,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0099,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.0,6,0,0.0
BT_0100,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0101,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0102,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
