id,dataset,label,membership,prefix,ground_truth,target_completion,run_length,p_rlb,edit_similarity,p_esb,log_p_esb,target_model,reference_model,reference_completion
booktection_06344_A.txt,booktection,1,member,"Valancourt, who heard these calls, and also the repeated name of Emily, instantly understood the subject of his distress; and, almost forgetting his own condition, he hastened to her relief. She was reviving when he reached the carriage; and then, understanding that anxiety for him had occasioned her indisposition, he","assured her, in a voice that trembled, but not from anguish, that his wound was of no consequence. While he said this St. Aubert turned round, and perceiving that he was still bleeding, the subject of his alarm changed again, and he hastily formed some handkerchiefs into a bandage. This stopped the effusion of the blood; but St.","felt a deep pang of self-reproach for having occasioned her such distress. As he supported her in his arms, he endeavored to reassure her of his own safety, and to calm the agitation that still visibly affected her. Emily, gradually recovering from her faint, gazed up at Valancourt with tears",0,1.0,0.2484848484848485,0.0,-171.50497669936158,llama-3.3-70b-versatile,EleutherAI/pythia-410m," hastened to her assistance.

""I am very much obliged to you,"" said she, ""for your kindness to me. I am very much obliged to you for your kindness to me. I am very much obliged to you for your kindness to me. I am very much obliged to you for your kindness to"
booktection_13775_A.txt,booktection,0,non_member,"She pulled her leg back out of the window and stood beside me once again. One of her friends, who was probably very drunk at the time, claims that she saw the bookshop. Not only saw it, but walked inside. I said nothing. I couldnt risk opening my mouth to","speak. It was back in the sixties, so, you know hallucinogenic drugs and stuff. But I figured youd want to know. Anyway, I really have to go. With that, she slipped back inside and shut the window behind her. I stayed on the patch of ground where the bookshop should have been and walked slowly around in circles until my legs stopped feeling like","speak, fearing that the words that would come out would be laced with a mix of confusion and alarm. The friend, whose name was Sarah, continued to describe the shop in vivid detail, from the old wooden shelves to the faint scent of aged paper that filled the air. She spoke of browsing through the shelves",2,3.00287155141632e-08,0.2593659942363112,0.0,-185.058010334149,llama-3.3-70b-versatile,EleutherAI/pythia-410m," say anything.

""I think you should go back to the hotel and get some sleep.""

""I'm not going back to the hotel.""

""You're not going back to the hotel?""

""I'm not going back to the hotel.""

""You're not going back"
booktection_15728_A.txt,booktection,0,non_member,"But shed kept the secret to herself. What had she been waiting for? The right moment? A big surprise? How foolish shed been. She touched her stomach, still flat as a board, the tiny bit of life within her undetectable at about eight weeks from conception. To be fair, she","thought, shed barely found out herself and then . . . oh, God. The fight. The horrible screaming match that had occurred before shed left the house on the night of the attack. Shed been leaving for her yoga class and what had started out as the same old argument about her working had escalated. Shed considered telling him about the baby that night,","had only just found out herself, and the news was still sinking in. The pregnancy test had been a shock, and she was still trying to wrap her head around the idea of becoming a mother. She thought about all the times she had imagined this moment, but never thought it would actually happen to her, at least",0,1.0,0.3257142857142857,0.0,-154.53526372136548,llama-3.3-70b-versatile,EleutherAI/pythia-410m," had been a little too young to be pregnant, but she had been a little too old to be pregnant. She had been a little too old to be pregnant.

She had been a little too old to be pregnant.

She had been a little too old to be pregnant.

She had been"
booktection_09652_A.txt,booktection,1,member,"They descended the staircase together,--gaunt, sallow Hepzibah, and pale, emaciated, age-stricken Clifford! They pulled open the front door, and stepped across the threshold, and felt, both of them, as if they were standing in the presence of the whole world, and with mankind's great and terrible eye on them alone.","The eye of their Father seemed to be withdrawn, and gave them no encouragement. The warm sunny air of the street made them shiver. Their hearts quaked within them at the idea of taking one step farther. ""It cannot be, Hepzibah!--it is too late,"" said Clifford with deep sadness. ""We are ghosts! We have no right among human beings,--no right anywhere but in this","The warm sunlight, which had been streaming down on the street, enveloped them, and for a moment, they stood there, blinking and shielding their eyes from its intensity. The bustling activity of the town, the clang of hammers, the rumble of carts, and the murmur of voices, all seemed to",1,2.8500673579401337e-05,0.2734806629834254,0.0,-157.0092426147312,llama-3.3-70b-versatile,EleutherAI/pythia-410m,"

""I am the Lord's, and I am the God of Jacob,"" said Hepzibah, in a voice that was as low as her own, and as low as the voice of the dead. ""I am the Lord, and I am the God of Jacob. I am the Lord, and"
booktection_15876_A.txt,booktection,0,non_member,"The light refracted from each triangle was an opulence rivaling the open skies. It looks like a honeycomb, Sefa said. They are called muqarnas, Arin said. Omal is not their original place of conception. Jasad is, I said. Half the Omal palace possessed aspects of Jasads architecture. The only part","that originates from Omal is the audacity. Muqarnas date back to Jasads Awal. Rovial designed them for his kingdom. Each muqarna is meant to hold a small focal point of magic shining down on Jasads vulnerable. The dying came to heal under muqarnas, and the heartsick found peace. At Arins narrowed gaze, I innocently added, There was one in my villa at Ahr il","that remained untouched was the ancient temple at its core, a testament to the city's rich history and the cultures that had once flourished there. As we walked through the grand halls, the muqarnas above us seemed to dance with light, casting intricate shadows on the walls. Arin pointed out the subtle variations",1,1.054698986990843e-05,0.2701949860724234,0.0,-179.86125280940905,llama-3.3-70b-versatile,EleutherAI/pythia-410m, of the palace that was not Omal was the courtyard. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a place of refuge for the Omal. The courtyard was a
booktection_15328_A.txt,booktection,0,non_member,"Of course, I mumble. Its just Hazel said she was treating me. Perhaps you could put it on your credit card and settle up with her later? She doesnt understand. Its not that I cant afford itI literally cant pay. I dont have enough cash, and I no longer have","a credit card. My credit card was stolen, I tell her, my voice wavering. Let me call Hazel. I step away from the desk and open my phone. Finding Hazels number in my contacts, I dial. Hello? Her voice sounds small, far away. Hazel, its Lee. I feel awkward and embarrassed, but I have no choice but to press on. Im at the spa.","...a credit card or a phone with a mobile payment app, for that matter. I'd been meaning to get a new one, but it's been slipping my mind. And now, of course, it's inconveniently too late. I glance at Hazel, hoping she'll intervene and explain the situation, but she",0,1.0,0.2901234567901234,0.0,-175.21369297499768,llama-3.3-70b-versatile,EleutherAI/pythia-410m, a job. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I have no money. I
booktection_09153_A.txt,booktection,1,member,"The taste of the usual was like cinders in his mouth, and there were moments when he felt as if he were being buried alive under his future. He heard nothing of the Countess Olenska, or of the perfect little house, and though he met Beaufort at the club they","merely nodded at each other across the whist-tables. It was not till the fourth evening that he found a note awaiting him on his return home. ""Come late tomorrow: I must explain to you. Ellen."" These were the only words it contained. The young man, who was dining out, thrust the note into his pocket, smiling a little at the Frenchness of the ""to","exchanged nothing more than a brief nod, as if the very mention of the subject was too painful to broach. The days blended together in a haze of monotony, each one a carbon copy of the last, with Archer going through the motions of his daily routine without any sense of purpose or passion. He felt",0,1.0,0.2737752161383285,0.0,-187.84456746373328,llama-3.3-70b-versatile,EleutherAI/pythia-410m," did not speak of the Countess.

The Countess Olenska was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman of the world, and she was a woman"
booktection_16387_A.txt,booktection,0,non_member,"He edges in with his back to the lake, keeping a wide distance between us. I almost didnt, I lie. There is nothing that would have stopped me from being here. Im glad you did, he says. He looks taller and a little more gaunt than the last time I","saw him, which was when he stepped over me, thinking I was dead, and disappeared into the dark like some kind of ghost. You said you were going to share something with me, I say, trying to keep my voice steady. He nods and takes a step toward me. This. He takes from his pocket a piece of folded paper and holds it out","saw him, his features sharpened by the faint morning light that dances across the water. His eyes, though, remain the same - a deep, piercing brown that seems to hold a thousand unspoken words. He pauses, his gaze drifting out to the lake before returning to me, a hint of a smile playing",3,2.197373305534711e-06,0.2830188679245283,0.0,-176.33053723722696,llama-3.3-70b-versatile,EleutherAI/pythia-410m, saw him. He is wearing a black suit and a white shirt. He is wearing a black hat and a white scarf. He is wearing a black jacket and a white shirt. He is wearing a black hat and a white scarf. He is wearing a black jacket and a white shirt. He is wearing a black hat
booktection_14335_A.txt,booktection,0,non_member,"It wasnt just that Id trusted him. Id thought But it didnt matter, did it? Whatever I felt, it was for a man who didnt exist. Ill let you two talk in private, Big Jim said. As he passed, he clapped me on the shoulder once. It was the only","time I could recall him ever touching me, and it took all I had not to slide out from under his hand, my skin crawling. I didnt want anyone touching me. Not ever again. The door closed behind Jim. Cass rubbed my arm in a way Im sure was meant to be comforting.","gesture of comfort I'd received all day, and it caught me off guard. I watched as Big Jim walked out of the room, his large frame filling the doorway before he disappeared from view. The sound of the door closing behind him seemed to echo through the silence that followed. I was left standing there, feeling a",0,1.0,0.3354838709677419,0.0,-157.6625158842653,llama-3.3-70b-versatile,EleutherAI/pythia-410m," time I ever saw him do that.

I was in the back of the car, and I was looking at the road. I was thinking about the way I felt, and I was thinking about the way I felt about him. I was thinking about the way I felt about the way I felt about the way"
booktection_14441_A.txt,booktection,0,non_member,"Then another face, pale and terrified. The memories were far away, so far they no longer held a clear shape, and ran like water. But he knew he had been to this part of the wood before. How had he escaped, the first time? He was laughing and the sun","was bright, and he tasted honey like a prayer on his lips. Who are you? He stopped, a stitch ripping into his side. His hand shook so hard the candle guttered in the lantern. Light was glimmering through the trees. He stepped towards it, so entranced that all fear left his bones. Above him, a long mark was daubed on an oak, silver and","was shining, casting dappled shadows on the forest floor. The laughter was carefree, without a hint of the fear that now gripped his heart. He tried to grasp the memory, to hold onto it, but it slipped through his fingers like sand. The face, pale and terrified, was his own,",1,5.825761945743579e-06,0.2946428571428571,0.0,-154.6106845643371,llama-3.3-70b-versatile,EleutherAI/pythia-410m," was shining, and he was happy.

""I'm going to get you out of here,"" he said. ""I'm going to get you out of here.""

""No, you're not,"" said the other. ""You're going to get me out of here.""

""I'm"
booktection_15192_A.txt,booktection,0,non_member,"Despicable. And I dont believe it. And I justit was awful of me to Elsie. His tone is even and deep. Hey. Its okay. You already apologized. He doesnt get it. I know, but of all the things that happened today, it seems like the shittiest. And I cannot control","any of thisnot my career tanking, not whether Im going to have health insurance or make rentbut I . . . I can control the way I react. So Im sorry I said it. About George. And about you. And . . . people do it to me all the time. In the last year of my Ph.D., I got this stupid award. When","my frustration about it. I feel like I let her down, and that's what's really eating away at me. His voice remains calm, a soothing contrast to the turmoil brewing inside. You said you apologized, so that's a start. What happened, exactly? Maybe talking about it will help you process everything.",0,1.0,0.2162162162162162,0.0,-201.75712483376265,llama-3.3-70b-versatile,EleutherAI/pythia-410m, it. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do. I dont know what to do
