dataset,file_name,membership,label,original_length,paraphrase_length,avg_sps,avg_wordsim,avg_final_score,elapsed_seconds,original,paraphrase,segments_json
wikimia24,WikiMIA24_WikiMIA_length128_00126.txt,member,1,723,377,0.9527052640914917,0.3505234134712693,0.6021818506202223,0.5534083843231201,"The 2016 Ford EcoBoost 400 was a NASCAR Sprint Cup Series race held on November 20, 2016, at Homestead-Miami Speedway in Homestead, Florida. Contested over 268 laps – extended from 267 laps due to an overtime finish, on the 1.5 mile (2.4 km) oval, it was the 36th and final race of the 2016 NASCAR Sprint Cup Series season. Jimmie Johnson won the race, and with it his seventh career Cup championship, tying him with Dale Earnhardt and Richard Petty for the most Cup Series championships of all time. It also marked the final race for Sprint as the series sponsor, having been the Cup Series’ title sponsor since 2008, after buying out Nextel in late 2005. Monster Energy replaced Sprint as title sponsor for the series for","On November 20, 2016, the 2016 Ford EcoBoost 400 race took place at Homestead-Miami Speedway in Homestead, Florida. It was the last race of the 2016 NASCAR Sprint Cup Series season, and it was Jimmie Johnson's seventh career Cup championship, tied with Dale Earnhardt and Richard Petty. Sprint had been the Cup Series' title sponsor since late 2005, when they purchased Nextel.","[{""type"": ""narrative"", ""original"": ""The 2016 Ford EcoBoost 400 was a NASCAR Sprint Cup Series race held on November 20, 2016, at Homestead-Miami Speedway in Homestead, Florida. Contested over 268 laps \u2013 extended from 267 laps due to an overtime finish, on the 1.5 mile (2.4 km) oval, it was the 36th and final race of the 2016 NASCAR Sprint Cup Series season. Jimmie Johnson won the race, and with it his seventh career Cup championship, tying him with Dale Earnhardt and Richard Petty for the most Cup Series championships of all time. It also marked the final race for Sprint as the series sponsor, having been the Cup Series\u2019 title sponsor since 2008, after buying out Nextel in late 2005. Monster Energy replaced Sprint as title sponsor for the series for"", ""selected"": ""On November 20, 2016, the 2016 Ford EcoBoost 400 race took place at Homestead-Miami Speedway in Homestead, Florida. It was the last race of the 2016 NASCAR Sprint Cup Series season, and it was Jimmie Johnson's seventh career Cup championship, tied with Dale Earnhardt and Richard Petty. Sprint had been the Cup Series' title sponsor since late 2005, when they purchased Nextel."", ""sps"": 0.9527052640914917, ""wordsim"": 0.3505234134712693, ""final_score"": 0.6021818506202223}]"
wikimia24,WikiMIA24_WikiMIA_length128_00445.txt,member,1,829,563,0.95197594165802,0.4920468517439979,0.4599290899140221,0.6780734062194824,"The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. Incumbent Republican Senator Chuck Grassley won reelection to a seventh term in office. Primary elections were held June 7, 2016, with Grassley facing no primary opposition, and former lieutenant governor Patty Judge winning the Democratic nomination. Grassley won a seventh term in a sixth consecutive landslide and outperformed Donald Trump, who also won the state that year; nevertheless, this represented Grassley's worst re-election performance at","During the 2016 United States Senate election in Iowa on November 8, 2016, a member of the United States Senate was elected to represent the State of Iowa. This occurred on the same day as the 2016 U.S. presidential election, which also saw elections for other states and the United States Senate in other states. Chuck Grassley, the incumbent Republican Senator, won a seventh term in office. Primary elections were held on June 7, 2016, and former lieutenant governor Patty Judge won the Democratic nomination. Grassley won a seventh term in a sixth consecutive","[{""type"": ""narrative"", ""original"": ""The 2016 United States Senate election in Iowa was held November 8, 2016, to elect a member of the United States Senate to represent the State of Iowa, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. Incumbent Republican Senator Chuck Grassley won reelection to a seventh term in office. Primary elections were held June 7, 2016, with Grassley facing no primary opposition, and former lieutenant governor Patty Judge winning the Democratic nomination. Grassley won a seventh term in a sixth consecutive landslide and outperformed Donald Trump, who also won the state that year; nevertheless, this represented Grassley's worst re-election performance at"", ""selected"": ""During the 2016 United States Senate election in Iowa on November 8, 2016, a member of the United States Senate was elected to represent the State of Iowa. This occurred on the same day as the 2016 U.S. presidential election, which also saw elections for other states and the United States Senate in other states. Chuck Grassley, the incumbent Republican Senator, won a seventh term in office. Primary elections were held on June 7, 2016, and former lieutenant governor Patty Judge won the Democratic nomination. Grassley won a seventh term in a sixth consecutive"", ""sps"": 0.95197594165802, ""wordsim"": 0.4920468517439979, ""final_score"": 0.4599290899140221}]"
wikimia24,WikiMIA24_WikiMIA_length128_00414.txt,member,1,821,640,0.9928746819496155,0.6323178945850235,0.36055678736459196,0.6866483688354492,"The 2016 Verizon workers' strike was a labor action in the United States involving about 40,000 Verizon Communications landline and Verizon Fios workers. The strike, which began April 13, was organized by trade unions International Brotherhood of Electrical Workers and the Communications Workers of America, and represents the biggest labor action in the United States since the Verizon strike of 2011 when 45,000 workers walked out. Picket lines were established along the East Coast of the United States, from Virginia to Massachusetts. A tentative agreement to end the strike was announced Friday, May 27. Verizon workers had been without a contract since August 2015 due to a disagreement about support services being outsourced to call centers in the Philippines, Mexico, and the Dominican Republic, a cap placed on","The 2016 Verizon workers' strike was a labor action involving approximately 40,000 Verizon Communications landline and Verizon Fios workers. It was organized by the International Brotherhood of Electrical Workers and the Communications Workers of America, and marked the largest labor action in the United States since the 2011 Verizon strike where 45,000 workers walked out. A tentative agreement to end the strike was announced on Friday, May 27. Verizon workers had been without a contract since August 2015, when a dispute about support services being outsourced to call centers in the Philippines, Mexico, and Dominican Republic, a cap","[{""type"": ""narrative"", ""original"": ""The 2016 Verizon workers' strike was a labor action in the United States involving about 40,000 Verizon Communications landline and Verizon Fios workers. The strike, which began April 13, was organized by trade unions International Brotherhood of Electrical Workers and the Communications Workers of America, and represents the biggest labor action in the United States since the Verizon strike of 2011 when 45,000 workers walked out. Picket lines were established along the East Coast of the United States, from Virginia to Massachusetts. A tentative agreement to end the strike was announced Friday, May 27. Verizon workers had been without a contract since August 2015 due to a disagreement about support services being outsourced to call centers in the Philippines, Mexico, and the Dominican Republic, a cap placed on"", ""selected"": ""The 2016 Verizon workers' strike was a labor action involving approximately 40,000 Verizon Communications landline and Verizon Fios workers. It was organized by the International Brotherhood of Electrical Workers and the Communications Workers of America, and marked the largest labor action in the United States since the 2011 Verizon strike where 45,000 workers walked out. A tentative agreement to end the strike was announced on Friday, May 27. Verizon workers had been without a contract since August 2015, when a dispute about support services being outsourced to call centers in the Philippines, Mexico, and Dominican Republic, a cap"", ""sps"": 0.9928746819496155, ""wordsim"": 0.6323178945850235, ""final_score"": 0.36055678736459196}]"
wikimia24,WikiMIA24_WikiMIA_length128_00279.txt,non_member,0,782,496,0.9061992764472961,0.5881525141525141,0.318046762294782,0.7147059440612793,"The 2024 Scotland Tri-Nation Series will be the third round of the 2023–2027 ICC Cricket World Cup League 2 cricket tournament, which is scheduled to be held in Scotland in July 2024. The tri-nation series is scheduled to be contested by the men's national teams of Scotland, Namibia and Oman. The matches will be played as One Day International (ODI) fixtures. Originally scheduled for May 2024, the series was rescheduled to July due to ""unprecedented poor weather"" resulting in a delay in the preparation of the playing pitches. A one-off Twenty20 International (T20I) between match Scotland and Oman was scheduled to be held following the League 2 series in May. The T20I match was confirmed to be cancelled in Cricket Scotland's announcement of the series postponement in April","The 2024 Scotland Tri-Nation Series is the third round of the ICC Cricket World Cup League 2 cricket tournament that will take place in Scotland in July 2024. The matches will be played as One Day International (ODI) matches against the men's national teams of Scotland, Namibia, and Oman. The series was originally scheduled for May 2024, but it was rescheduled to July due to ""unprecedented poor weather"" resulting in a delay in the preparation of the playing pitches. A one-off international T","[{""type"": ""narrative"", ""original"": ""The 2024 Scotland Tri-Nation Series will be the third round of the 2023\u20132027 ICC Cricket World Cup League 2 cricket tournament, which is scheduled to be held in Scotland in July 2024. The tri-nation series is scheduled to be contested by the men's national teams of Scotland, Namibia and Oman. The matches will be played as One Day International (ODI) fixtures. Originally scheduled for May 2024, the series was rescheduled to July due to \""unprecedented poor weather\"" resulting in a delay in the preparation of the playing pitches. A one-off Twenty20 International (T20I) between match Scotland and Oman was scheduled to be held following the League 2 series in May. The T20I match was confirmed to be cancelled in Cricket Scotland's announcement of the series postponement in April"", ""selected"": ""The 2024 Scotland Tri-Nation Series is the third round of the ICC Cricket World Cup League 2 cricket tournament that will take place in Scotland in July 2024. The matches will be played as One Day International (ODI) matches against the men's national teams of Scotland, Namibia, and Oman. The series was originally scheduled for May 2024, but it was rescheduled to July due to \""unprecedented poor weather\"" resulting in a delay in the preparation of the playing pitches. A one-off international T"", ""sps"": 0.9061992764472961, ""wordsim"": 0.5881525141525141, ""final_score"": 0.318046762294782}]"
wikimia24,WikiMIA24_WikiMIA_length128_00209.txt,non_member,0,727,379,0.9301401376724243,0.5133802233702,0.41675991430222437,0.6822688579559326,"Early presidential elections in Iran were held on 28 June and 5 July 2024, in which reformist candidate Masoud Pezeshkian won the second round with 55% of the vote. Following the death of the then president Ebrahim Raisi in a helicopter crash on 19 May, early elections were announced. Four candidates contested the first round of the election, in which Masoud Pezeshkian won 44%, Saeed Jalili won 40%, Mohammad Bagher Ghalibaf won 14% and Mostafa Pourmohammadi won less than 1% of the vote. Pezeshkian was the only reformist candidate on the ballot. As no candidate won a majority in the first round, a run off vote was held on 5 July between Jalili and Pezeshkian, which the latter won with 53.7% of the vote. On 6 July 2024,","In Iran's early presidential elections on 28 June and 5 July 2024, reformist candidate Masoud Pezeshkian won the second round with 55% of the vote. Following the death of former president Ebrahim Raisi in a helicopter crash on 19 May, early elections were held. Masoud Pezeshkian won 44%, Saeed Jalili won 40%, Mohammad Bagher Ghalibaf won 14%, and Mostafa Pourmohammadi won arun","[{""type"": ""narrative"", ""original"": ""Early presidential elections in Iran were held on 28 June and 5 July 2024, in which reformist candidate Masoud Pezeshkian won the second round with 55% of the vote. Following the death of the then president Ebrahim Raisi in a helicopter crash on 19 May, early elections were announced. Four candidates contested the first round of the election, in which Masoud Pezeshkian won 44%, Saeed Jalili won 40%, Mohammad Bagher Ghalibaf won 14% and Mostafa Pourmohammadi won less than 1% of the vote. Pezeshkian was the only reformist candidate on the ballot. As no candidate won a majority in the first round, a run off vote was held on 5 July between Jalili and Pezeshkian, which the latter won with 53.7% of the vote. On 6 July 2024,"", ""selected"": ""In Iran's early presidential elections on 28 June and 5 July 2024, reformist candidate Masoud Pezeshkian won the second round with 55% of the vote. Following the death of former president Ebrahim Raisi in a helicopter crash on 19 May, early elections were held. Masoud Pezeshkian won 44%, Saeed Jalili won 40%, Mohammad Bagher Ghalibaf won 14%, and Mostafa Pourmohammadi won arun"", ""sps"": 0.9301401376724243, ""wordsim"": 0.5133802233702, ""final_score"": 0.41675991430222437}]"
wikimia24,WikiMIA24_WikiMIA_length128_00436.txt,non_member,0,750,410,0.9552717208862305,0.31647308132875146,0.638798639557479,0.7011311054229736,"The 2024 General Tire 200 was the 3rd stock car race of the 2024 ARCA Menards Series season, and the 62nd running of the event. The race was held on Saturday, April 20, 2024, at Talladega Superspeedway in Lincoln, Alabama, a 2.66 mile (4.28 km) permanent quad-oval shaped asphalt superspeedway. The race took the scheduled 76 laps to complete. Jake Finch, driving for Venturini Motorsports, would find redemption from Daytona, and put on a blistering performance, leading every lap of the race to earn his first career ARCA Menards Series win. It was the first Talladega race in series history where a driver led every lap to win the race. To fill out the podium, Kris Wright, driving for Venturini Motorsports, and Tanner Gray, driving for Joe Gibbs","The 2024 General Tire 200 marked the 62nd edition of the 2024 ARCA Menards Series season, with the race taking place on Saturday, April 20, 2024, at Talladega Superspeedway in Lincoln, Alabama. The race was completed in 76 laps and marked the first time ever that a driver led every lap in the Talladega race, with Jake Finch of Venturini Motorsports earning the title and the first in series history to do so.","[{""type"": ""narrative"", ""original"": ""The 2024 General Tire 200 was the 3rd stock car race of the 2024 ARCA Menards Series season, and the 62nd running of the event. The race was held on Saturday, April 20, 2024, at Talladega Superspeedway in Lincoln, Alabama, a 2.66 mile (4.28 km) permanent quad-oval shaped asphalt superspeedway. The race took the scheduled 76 laps to complete. Jake Finch, driving for Venturini Motorsports, would find redemption from Daytona, and put on a blistering performance, leading every lap of the race to earn his first career ARCA Menards Series win. It was the first Talladega race in series history where a driver led every lap to win the race. To fill out the podium, Kris Wright, driving for Venturini Motorsports, and Tanner Gray, driving for Joe Gibbs"", ""selected"": ""The 2024 General Tire 200 marked the 62nd edition of the 2024 ARCA Menards Series season, with the race taking place on Saturday, April 20, 2024, at Talladega Superspeedway in Lincoln, Alabama. The race was completed in 76 laps and marked the first time ever that a driver led every lap in the Talladega race, with Jake Finch of Venturini Motorsports earning the title and the first in series history to do so."", ""sps"": 0.9552717208862305, ""wordsim"": 0.31647308132875146, ""final_score"": 0.638798639557479}]"
wikimia24,WikiMIA24_WikiMIA_length128_00153.txt,member,1,720,549,0.986413836479187,0.6797101043712456,0.30670373210794144,0.8230679035186768,"The 2016 WD-40 Phillip Island SuperSprint was a motor racing event for V8 Supercars, held on the weekend of 15 to 17 April 2016. The event was held at the Phillip Island Grand Prix Circuit at Phillip Island, Victoria, and consisted of one race of 120 kilometres and one race of 200 km in length. It was the third event of fourteen in the 2016 International V8 Supercars Championship and hosted Races 6 and 7 of the season. The event was the 18th running of the Phillip Island SuperSprint and was the 500th event in the combined history of the Australian Touring Car Championship and V8 Supercars. The event was dominated by Scott McLaughlin, who won both races from pole position. Second place was taken by Jamie Whincup","The Phillip Island SuperSprint, a motor racing event for V8 Supercars, was held on the weekend of 15 to 17 April 2016 at the Phillip Island Grand Prix Circuit in Victoria. The event consisted of one race of 120 kilometres and one race of 200 km in length. It was the third event of fourteen in the 2016 International V8 Supercars Championship and hosted Races 6 and 7 of the season. It was the 18th edition of the Phillip Island SuperSprint and was the 500th event in the combined history of the Australian Touring Car Championship and V8 Supercars.","[{""type"": ""narrative"", ""original"": ""The 2016 WD-40 Phillip Island SuperSprint was a motor racing event for V8 Supercars, held on the weekend of 15 to 17 April 2016. The event was held at the Phillip Island Grand Prix Circuit at Phillip Island, Victoria, and consisted of one race of 120 kilometres and one race of 200 km in length. It was the third event of fourteen in the 2016 International V8 Supercars Championship and hosted Races 6 and 7 of the season. The event was the 18th running of the Phillip Island SuperSprint and was the 500th event in the combined history of the Australian Touring Car Championship and V8 Supercars. The event was dominated by Scott McLaughlin, who won both races from pole position. Second place was taken by Jamie Whincup"", ""selected"": ""The Phillip Island SuperSprint, a motor racing event for V8 Supercars, was held on the weekend of 15 to 17 April 2016 at the Phillip Island Grand Prix Circuit in Victoria. The event consisted of one race of 120 kilometres and one race of 200 km in length. It was the third event of fourteen in the 2016 International V8 Supercars Championship and hosted Races 6 and 7 of the season. It was the 18th edition of the Phillip Island SuperSprint and was the 500th event in the combined history of the Australian Touring Car Championship and V8 Supercars."", ""sps"": 0.986413836479187, ""wordsim"": 0.6797101043712456, ""final_score"": 0.30670373210794144}]"
wikimia24,WikiMIA24_WikiMIA_length128_00323.txt,non_member,0,802,535,0.945499062538147,0.5055845284658844,0.43991453407226255,0.6339855194091797,"The 2024 Big Ten men's basketball tournament (branded as the 2024 TIAA Big Ten Men's Basketball Tournament for sponsorship reasons) was a postseason men's basketball tournament for the Big Ten Conference of the 2023–24 NCAA Division I men's basketball season which took place from March 13–17, 2024. The tournament was held at the Target Center in Minneapolis, Minnesota. This was the first year in which the first round is broadcast by Peacock. As the tournament winner, Illinois received the conference's automatic bid to the 2024 NCAA Division I men's basketball tournament. This was the last season in the current tournament format as the conference will expand to 18 teams the following year. The conference announced that only 15 teams will participate in future tournaments with the bottom three","The 2024 Big Ten men's basketball tournament was a postseason men's basketball tournament for the Big Ten Conference during the 2023-24 NCAA Division I season. It was held at the Target Center in Minneapolis, Minnesota, with Peacock broadcasting the first round. The tournament's winner gave Illinois an automatic entry into the 2024 NCAA Division I men's basketball tournament. This year, the conference will expand to 18 teams, and only 15 teams will participate in future tournaments with the bottom three teams in the bottom three.","[{""type"": ""narrative"", ""original"": ""The 2024 Big Ten men's basketball tournament (branded as the 2024 TIAA Big Ten Men's Basketball Tournament for sponsorship reasons) was a postseason men's basketball tournament for the Big Ten Conference of the 2023\u201324 NCAA Division I men's basketball season which took place from March 13\u201317, 2024. The tournament was held at the Target Center in Minneapolis, Minnesota. This was the first year in which the first round is broadcast by Peacock. As the tournament winner, Illinois received the conference's automatic bid to the 2024 NCAA Division I men's basketball tournament. This was the last season in the current tournament format as the conference will expand to 18 teams the following year. The conference announced that only 15 teams will participate in future tournaments with the bottom three"", ""selected"": ""The 2024 Big Ten men's basketball tournament was a postseason men's basketball tournament for the Big Ten Conference during the 2023-24 NCAA Division I season. It was held at the Target Center in Minneapolis, Minnesota, with Peacock broadcasting the first round. The tournament's winner gave Illinois an automatic entry into the 2024 NCAA Division I men's basketball tournament. This year, the conference will expand to 18 teams, and only 15 teams will participate in future tournaments with the bottom three teams in the bottom three."", ""sps"": 0.945499062538147, ""wordsim"": 0.5055845284658844, ""final_score"": 0.43991453407226255}]"
wikimia24,WikiMIA24_WikiMIA_length128_00511.txt,non_member,0,727,473,0.979202926158905,0.44697638678557405,0.532226539373331,0.6674625873565674,"The 2024 UFL draft, also known as the 2024 UFL college draft, is the first annual meeting of United Football League (UFL) franchises to select newly eligible players ahead of the 2025 UFL season. It is the first rookie draft since the league formed from the merger of the United States Football League (USFL) and XFL. Previously, the two predecessor leagues held separate rookie drafts in 2023 prior to the merger and then a dispersal draft in 2024 following the merge and contraction from 16 total pre-merger teams to the current 8 teams that competed in the 2024 season. The draft will be held on July 17, 2024 and was announced only six days prior. The announcement of the draft also coincided with the beginning a series of","The 2024 UFL draft, also known as the 2024 UFL college draft, is a yearly gathering of United Football League (UFL) franchises to pick newly qualified players for the 2025 UFL season. This is the first rookie draft since the merger of the USFL and XFL. Previously, the two predecessor leagues conducted separate rookie drafts in 2023 and then a dispersal draft in 2024 after the merger. The announcement of the draft coincided with the commencement of a series of playoffs.","[{""type"": ""narrative"", ""original"": ""The 2024 UFL draft, also known as the 2024 UFL college draft, is the first annual meeting of United Football League (UFL) franchises to select newly eligible players ahead of the 2025 UFL season. It is the first rookie draft since the league formed from the merger of the United States Football League (USFL) and XFL. Previously, the two predecessor leagues held separate rookie drafts in 2023 prior to the merger and then a dispersal draft in 2024 following the merge and contraction from 16 total pre-merger teams to the current 8 teams that competed in the 2024 season. The draft will be held on July 17, 2024 and was announced only six days prior. The announcement of the draft also coincided with the beginning a series of"", ""selected"": ""The 2024 UFL draft, also known as the 2024 UFL college draft, is a yearly gathering of United Football League (UFL) franchises to pick newly qualified players for the 2025 UFL season. This is the first rookie draft since the merger of the USFL and XFL. Previously, the two predecessor leagues conducted separate rookie drafts in 2023 and then a dispersal draft in 2024 after the merger. The announcement of the draft coincided with the commencement of a series of playoffs."", ""sps"": 0.979202926158905, ""wordsim"": 0.44697638678557405, ""final_score"": 0.532226539373331}]"
wikimia24,WikiMIA24_WikiMIA_length128_00169.txt,member,1,768,483,0.9638814330101013,0.4541661635595606,0.5097152694505407,0.7148022651672363,"The 2016 Sacrifice (also known as Impact Wrestling: Sacrifice) was a professional wrestling television special produced by Total Nonstop Action Wrestling (TNA), which took place on March 19, 2016 at the Impact Zone in Orlando, Florida and aired on Pop TV on April 26. It was the tenth event under the Sacrifice chronology. Unlike the previous events, this event was not included on pay-per-view (PPV) and instead, was featured as a special edition of TNA's weekly broadcast of Impact Wrestling on Pop TV. Five matches were contested at the event. The main event was a no disqualification match between Ethan Carter III and Mike Bennett, which Bennett won. In other prominent matches on the undercard, Bram defeated Eric Young in a falls count anywhere match to win the","Total Nonstop Action Wrestling (TNA) produced the 2016 Sacrifice, also known as Impact Wrestling: Sacrifice, which was filmed on March 19, 2016, at the Impact Zone in Orlando, Florida, and aired on Pop TV on April 26. It was the tenth event of the Sacrifice chronology and was not featured on pay-per-view (PPV) this time around. The event featured five matches, with Ethan Carter III and Mike Bennett beating each other in a no disqualification match in a victory on the same event.","[{""type"": ""narrative"", ""original"": ""The 2016 Sacrifice (also known as Impact Wrestling: Sacrifice) was a professional wrestling television special produced by Total Nonstop Action Wrestling (TNA), which took place on March 19, 2016 at the Impact Zone in Orlando, Florida and aired on Pop TV on April 26. It was the tenth event under the Sacrifice chronology. Unlike the previous events, this event was not included on pay-per-view (PPV) and instead, was featured as a special edition of TNA's weekly broadcast of Impact Wrestling on Pop TV. Five matches were contested at the event. The main event was a no disqualification match between Ethan Carter III and Mike Bennett, which Bennett won. In other prominent matches on the undercard, Bram defeated Eric Young in a falls count anywhere match to win the"", ""selected"": ""Total Nonstop Action Wrestling (TNA) produced the 2016 Sacrifice, also known as Impact Wrestling: Sacrifice, which was filmed on March 19, 2016, at the Impact Zone in Orlando, Florida, and aired on Pop TV on April 26. It was the tenth event of the Sacrifice chronology and was not featured on pay-per-view (PPV) this time around. The event featured five matches, with Ethan Carter III and Mike Bennett beating each other in a no disqualification match in a victory on the same event."", ""sps"": 0.9638814330101013, ""wordsim"": 0.4541661635595606, ""final_score"": 0.5097152694505407}]"
