sample_id,book_id,label,method,model,backend,raw_membership_score,normal_membership_score,perturbed_membership_score,n_positions,max_words,n_samples_per_prefix,n_non_member_shots,membership_score,membership_probability,absolute_error
BT_0000,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-1.022930259021246,0.7899958146245856,0.8003006922571283,19,20,3,3,-1.022930259021246,0.39527364539028104,0.604726354609719
BT_0001,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-1.025350736234907,0.7593329527921844,0.7726591407207021,19,20,3,3,-1.025350736234907,0.38276346571317493,0.6172365342868251
BT_0002,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-0.9994209242732384,0.7201624826381081,0.7125612277733652,19,20,3,3,-0.9994209242732384,0.5167810903382776,0.48321890966172243
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,simmia,llama-3.1-8b-instant,groq,-0.9512066967430188,0.7431694739743283,0.6991433940435711,19,20,3,3,-0.9512066967430188,0.765975193877717,0.765975193877717
BT_0004,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-0.9908696162842058,0.7154633402824402,0.700403978950099,19,20,3,3,-0.9908696162842058,0.5609783250047669,0.5609783250047669
BT_0005,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-1.0035750232634977,0.7310657752187628,0.7186356761999297,19,20,3,3,-1.0035750232634977,0.49531072719198566,0.49531072719198566
BT_0006,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9502452954894088,0.7292065609965409,0.6878599148047598,19,20,3,3,-0.9502452954894088,0.7709441736956529,0.22905582630434707
BT_0007,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,simmia,llama-3.1-8b-instant,groq,-1.0220855046578907,0.7286090097929302,0.7372044492186162,19,20,3,3,-1.0220855046578907,0.39963973849330514,0.39963973849330514
BT_0008,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,simmia,llama-3.1-8b-instant,groq,-0.9575638093546044,0.7517422563151309,0.7093114235944915,19,20,3,3,-0.9575638093546044,0.7331186065280509,0.7331186065280509
BT_0009,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.995465584288839,0.6707455202152854,0.6639594686658759,19,20,3,3,-0.995465584288839,0.5372241722270896,0.4627758277729104
BT_0010,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9566863859753352,0.787724705118882,0.7380131545819735,19,20,3,3,-0.9566863859753352,0.737653548673178,0.262346451326822
BT_0011,Happy_Place_-_Emily_Henry,0,simmia,llama-3.1-8b-instant,groq,-0.9559083621053645,0.7777757205461201,0.7381164400201096,19,20,3,3,-0.9559083621053645,0.741674746787119,0.741674746787119
BT_0012,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-0.993357108996107,0.7364160313940884,0.7263217568397522,19,20,3,3,-0.993357108996107,0.5481217772976698,0.5481217772976698
BT_0013,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-0.9719763539206095,0.7166184626127544,0.6829709567521748,19,20,3,3,-0.9719763539206095,0.6586277081599957,0.3413722918400043
BT_0014,Happy_Place_-_Emily_Henry,0,simmia,llama-3.1-8b-instant,groq,-1.0286620370056887,0.6896048627401653,0.7052859580307677,19,20,3,3,-1.0286620370056887,0.36564908538618107,0.36564908538618107
BT_0015,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,simmia,llama-3.1-8b-instant,groq,-0.9341240162293304,0.7669490314366524,0.7072290589934901,19,20,3,3,-0.9341240162293304,0.8542666272308929,0.8542666272308929
BT_0016,The_Silmarillion_-_J._R._R._Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.9408475763992896,0.7186287892492194,0.6639671712590938,19,20,3,3,-0.9408475763992896,0.8195160642752524,0.18048393572474764
BT_0017,Unfortunately_Yours_-_Tessa_Bailey,0,simmia,llama-3.1-8b-instant,groq,-1.0150501302572157,0.748254308575078,0.7526145070268396,19,20,3,3,-1.0150501302572157,0.436001905983009,0.436001905983009
BT_0018,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,simmia,llama-3.1-8b-instant,groq,-0.9808694235164882,0.7084796742389077,0.6923844626075343,19,20,3,3,-0.9808694235164882,0.6126640866486933,0.3873359133513067
BT_0019,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9545228444185504,0.7522276263487967,0.708211572546708,19,20,3,3,-0.9545228444185504,0.7488357624372662,0.25116423756273376
BT_0020,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-1.0388301367129842,0.721888193958684,0.7445163946402701,19,20,3,3,-1.0388301367129842,0.3130955006653435,0.3130955006653435
BT_0021,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-0.9757118722035224,0.7916857882549888,0.7647170016640111,19,20,3,3,-0.9757118722035224,0.6393207695767278,0.3606792304232722
